Affix,Type,Position,Language,Voice_Focus,Aspect,Tense,Function_Meaning,Example_Root_CEB,Example_Form_CEB,Example_Gloss_CEB,Example_Root_TAG,Example_Form_TAG,Example_Gloss_TAG,Notes,Allomorphs
mu-,Inflectional,Prefix,Cebuano,Actor,Punctual,Future,will [verb] (single action),palit,mupalit,will buy,,,,Cebuano only; single completed action,
mag-,Inflectional,Prefix,Both,Actor,Punctual/Durative,Future,CEB: will be [verb]-ing; TAG: will [verb],palit,magpalit,will be buying,bili,magbili,will buy,Different aspect usage; appears in multiple contexts,
mam-,Inflectional,Prefix,Both,Actor,Distributive,Future,will [verb] habitually (before p/b),palit,mamalit,will buy habitually,bili,mamili,will buy habitually,"Allomorph of maN-; before p, b",Part of paN-/maN- system
man-,Inflectional,Prefix,Both,Actor,Distributive,Future,will [verb] habitually (before t/d/s/r/l),tindug,manindug,will stand habitually,sulat,manulat,will write habitually,"Allomorph of maN-; before t, d, s, r, l",Part of paN-/maN- system
mang-,Inflectional,Prefix,Both,Actor,Distributive,Future,will [verb] habitually (before k/h/vowels),isda,mamingka,will go fishing,isda,mangisda,will go fishing,"Allomorph of maN-; before k, h, vowels",Part of paN-/maN- system
mangl-,Inflectional,Prefix,Cebuano,Actor,Distributive,Future,will [verb] habitually (before l),lútù,manglútù,will cook habitually,,,,Cebuano only; allomorph of maN- before l,Part of paN-/maN- system
manl-,Inflectional,Prefix,Cebuano,Actor,Distributive,Future,will [verb] habitually (before l variant),lútù,manlútù,will cook habitually,,,,Cebuano only; variant of mangl-,Part of paN-/maN- system
many-,Inflectional,Prefix,Tagalog,Actor,Distributive,Future,will [verb] habitually (variant),,,,,,,Tagalog only; allomorph of maN-,Part of paN-/maN- system
ma-,Inflectional,Prefix,Tagalog,Actor,Distributive,Future,will [verb] habitually (before consonants),,,,,,,Tagalog only; allomorph of maN-,Part of paN-/maN- system
-um-,Inflectional,Infix,Both,Actor,Basic,Future,will [verb] (intransitive),tindog,tumindog,will stand (literary),sulat,sumulat,will write,CEB: archaic/literary; TAG: highly productive,
mi-,Inflectional,Prefix,Cebuano,Actor,Punctual,Past,[verb]-ed (single action),palit,mipalit,bought,,,,Cebuano only,
